square,letter,show,other
0,S,,
1,C,C,
2,A,,
3,R,,
4,-,,
5,C,,
6,A,,
7,I,,
8,N,,
9,E,,
10,-,,
11,S,,
12,O,,
13,M,,
14,E,,
15,T,,
16,A,,
17,P,,
18,E,,
19,-,,
20,O,,
21,R,,
22,D,,
23,E,,
24,R,,
25,-,,
26,I,,
27,M,,
28,A,,
29,N,,
30,A,,
31,N,,
32,I,,
33,M,,
34,A,,
35,L,,
36,F,,
37,A,,
38,R,,
39,M,,
40,-,,
41,L,,
42,A,,
43,R,,
44,D,,
45,I,,
46,O,,
47,N,,
48,-,,
49,R,,
50,L,,
51,S,,
52,-,,
53,D,,
54,I,,
55,S,,
56,A,,
57,R,,
58,M,,
59,S,,
60,N,,
61,E,,
62,G,,
63,A,,
64,T,,
65,E,,
66,-,,
67,M,,
68,Y,,
69,N,,
70,A,,
71,S,,
72,-,,
73,-,,
74,-,,
75,-,,
76,-,,
77,-,,
78,L,,
79,Y,,
80,C,,
81,R,,
82,A,,
83,-,,
84,E,,
85,L,,
86,M,,
87,E,,
88,R,,
89,S,,
90,I,,
91,T,,
92,A,,
93,L,,
94,-,,
95,T,,
96,O,,
97,G,,
98,A,,
99,-,,
100,S,,
101,A,,
102,R,,
103,A,,
104,H,,
105,G,,
106,O,,
107,V,,
108,T,,
109,-,,
110,S,,
111,O,,
112,N,,
113,I,,
114,C,,
115,-,,
116,R,,
117,I,,
118,T,,
119,A,,
120,O,,
121,N,,
122,I,,
123,O,,
124,N,,
125,-,,
126,F,,
127,I,,
128,D,,
129,O,,
130,-,,
131,N,,
132,E,,
133,E,,
134,D,,
135,R,,
136,E,,
137,D,,
138,O,,
139,E,,
140,S,,
141,-,,
142,F,,
143,E,,
144,N,,
145,C,,
146,E,,
147,-,,
148,-,,
149,-,,
150,-,,
151,-,,
152,-,,
153,H,,
154,I,,
155,P,,
156,P,,
157,Y,,
158,-,,
159,D,,
160,A,,
161,R,,
162,N,,
163,E,,
164,D,,
165,P,,
166,O,,
167,P,,
168,U,,
169,L,,
170,A,,
171,R,,
172,-,,
173,O,,
174,E,,
175,R,,
176,-,,
177,O,,
178,X,,
179,O,,
180,I,,
181,T,,
182,E,,
183,M,,
184,-,,
185,R,,
186,E,,
187,A,,
188,D,,
189,M,,
190,Y,,
191,L,,
192,I,,
193,P,,
194,S,,
195,E,,
196,T,,
197,T,,
198,A,,
199,-,,
200,E,,
201,G,,
202,G,,
203,O,,
204,N,,
205,-,,
206,I,,
207,S,,
208,E,,
209,E,,
210,R,,
211,O,,
212,A,,
213,N,,
214,-,,
215,D,,
216,O,,
217,O,,
218,R,,
219,S,,
220,-,,
221,E,,
222,E,,
223,L,,
224,S,,
